id;review
1;они настолько маленькие, совсем не тянуться и нет петелек для шнуровки.
2;ничего не пришло, денги не возвращают.
3;Ужасный продавец товар так и не пришёл уже больше двух месяцев деньги не возвращает не покупайте у него абсолютно нечестный спор закрыл хотя обязательства не исполнил 
4;У меня нет слов, насколько это платье шакарно!!! Сшито очень аккуратно, ткань наощупь приятная, сидит платье просто превосходно. Доставка - 20 дней, трек отслеживался. В общем, это любовь с первого взгляда... на платье . Друзья тоже оценили. Дажа этикетка была шикарной! Продавец просто супер! рекомендую его и его товары!
5;Заказ пришел за месяц. Размер соответствует.  Очень довольна рубашкой: все швы ровные и аккуратные, пуговицы симпатичные, ткань приятная на ощупь.В  холодную погоду использую вместо джемпера.
6;платье пришло за 25 дней до красноярского края, мешок, а не платье
7;отлично
8;Рубашка клевая, но размер М не на М, а на ХL, и по составу 100% синтетика, фламинго аккуратные, нитки нигде не торчат
9;Сам топ понравился, на ог 82 подошел хорошо. но дырки, через которые вставили чашки сильно разочаровали
10;Заказывала черную, прислали белую, а она мне и задаром не нужна. Просила вернуть хотя бы половину суммы, а продавец только скидку предлагал. На хрен мне его скидка сдалась
11;Отличные резинки, мягкие и держат превосходно! 
12;Заказ пришёл быстро, хорошо отслеживался, размер подошёл, качество хорошее. Но на майке и шортах оказались пятна, по этому три звезды. 
13;о.к. по размеру.привезли домой.спасибо.158
14;я очень сильно не довольно заказом , заказала одно и размер , а пришли вообще огромные брюки , очень плохо , и одной пуговицы нет , очень долго шел заказ , пожалела что заказала , денег жалко. , плохо 
15;к самим леггинсам претензий нет, всё качественно. но продавец просто ужас!!! обрабатывал заказ более двух недель, на связь не выходил, на сообщения не отвечал. зато когда всё-таки отправил, написал с просьбой поставить ему пять звёзд. хрен тебе, а не пятерка!
16;слишком коротка, к низу расклешеная, чё к чему. рукав только, только. так себе.
17;Пришло только письмо с обещанием. Спор открыла. Али вернул деньги. Уже 2,5 мес прошло от заказа - посылки нет. Письмо пришло более 1 мес назад.
18;Пришла кофта короткая , продавец вернул половину . Не советую заказывать , но качество хорошее 
19;Качество ткани соответствует цене платья.
20;Мне очень понравилось пальтишко,на размер 42 подошло s отлично!
21;Данный лиф не подойдёт девушкам с большой грудью. Быстро отклеивается. Единственный плюс  - место для соска без клея (отклеивать его не приятно). Девушкам с маленькой лёгкой грудью подойдёт. За такие деньги жаловаться не вижу смысла. С продавцом не общалась, ставлю 5 звёзд,  тк быстрая доставка и почти не мятый
22;синтетика 100%, описание не соответствует. Спор админы алиэкспресс закрыли  в пользу продавца.Рукава слишком широкие, на размере M выглядят как-то неестественно. Да и сама кофта оказалась велика,  пришлось ушить.
23;Спасибо! На рост 165 их подрезать не надо
24;платье пришлось переделывать. горловина кривая.низ не ровный,выпустила и добавила шитьё. запах держится до сих пор(стирала уже три раза) одно хорошо в жару не жарко в нём
25;Супер
26;Ожидала розовый топ, как на картинке у продавца. В итоге пришёл бежевый. Очень неприятно, но придётся носить такой.  А по качеству ткани могу сказать, что хорошая. 
27;Платье приятное на ощупь. Нитки не торчат. Покупала для мамы к новому году, но оно немного не успело. Доставка быстрая. Спасибо 
28;Качество носков отличное, но доставка ... очень долго шли! 
29;Размеры не соответствуют, хотя мы проверяли по таблице размеров прилагаемых в магазине
