id;review;sentiment;topic
1;они настолько маленькие, совсем не тянуться и нет петелек для шнуровки.;negative;product_quality
2;ничего не пришло, денги не возвращают.;unknown;unknown
3;Ужасный продавец товар так и не пришёл уже больше двух месяцев деньги не возвращает не покупайте у него абсолютно нечестный спор закрыл хотя обязательства не исполнил ;negative;seller
4;У меня нет слов, насколько это платье шакарно!!! Сшито очень аккуратно, ткань наощупь приятная, сидит платье просто превосходно. Доставка - 20 дней, трек отслеживался. В общем, это любовь с первого взгляда... на платье . Друзья тоже оценили. Дажа этикетка была шикарной! Продавец просто супер! рекомендую его и его товары!;positive;product_quality
5;Заказ пришел за месяц. Размер соответствует.  Очень довольна рубашкой: все швы ровные и аккуратные, пуговицы симпатичные, ткань приятная на ощупь.В  холодную погоду использую вместо джемпера.;positive;product_quality
6;платье пришло за 25 дней до красноярского края, мешок, а не платье;unknown;unknown
7;отлично;positive;product_quality
8;Рубашка клевая, но размер М не на М, а на ХL, и по составу 100% синтетика, фламинго аккуратные, нитки нигде не торчат;unknown;unknown
9;Сам топ понравился, на ог 82 подошел хорошо. но дырки, через которые вставили чашки сильно разочаровали;mixed;product_quality
10;Заказывала черную, прислали белую, а она мне и задаром не нужна. Просила вернуть хотя бы половину суммы, а продавец только скидку предлагал. На хрен мне его скидка сдалась;unknown;unknown
11;Отличные резинки, мягкие и держат превосходно! ;unknown;unknown
12;Заказ пришёл быстро, хорошо отслеживался, размер подошёл, качество хорошее. Но на майке и шортах оказались пятна, по этому три звезды. ;unknown;unknown
13;о.к. по размеру.привезли домой.спасибо.158;positive;fit
14;я очень сильно не довольно заказом , заказала одно и размер , а пришли вообще огромные брюки , очень плохо , и одной пуговицы нет , очень долго шел заказ , пожалела что заказала , денег жалко. , плохо ;negative;product_quality
15;к самим леггинсам претензий нет, всё качественно. но продавец просто ужас!!! обрабатывал заказ более двух недель, на связь не выходил, на сообщения не отвечал. зато когда всё-таки отправил, написал с просьбой поставить ему пять звёзд. хрен тебе, а не пятерка!;negative;seller
16;слишком коротка, к низу расклешеная, чё к чему. рукав только, только. так себе.;unknown;unknown
17;Пришло только письмо с обещанием. Спор открыла. Али вернул деньги. Уже 2,5 мес прошло от заказа - посылки нет. Письмо пришло более 1 мес назад.;negative;delivery
18;Пришла кофта короткая , продавец вернул половину . Не советую заказывать , но качество хорошее ;mixed;fit
19;Качество ткани соответствует цене платья.;neutral;product_quality
20;Мне очень понравилось пальтишко,на размер 42 подошло s отлично!;positive;fit
21;Данный лиф не подойдёт девушкам с большой грудью. Быстро отклеивается. Единственный плюс  - место для соска без клея (отклеивать его не приятно). Девушкам с маленькой лёгкой грудью подойдёт. За такие деньги жаловаться не вижу смысла. С продавцом не общалась, ставлю 5 звёзд,  тк быстрая доставка и почти не мятый;mixed;fit
22;синтетика 100%, описание не соответствует. Спор админы алиэкспресс закрыли  в пользу продавца.Рукава слишком широкие, на размере M выглядят как-то неестественно. Да и сама кофта оказалась велика,  пришлось ушить.;negative;fit
23;Спасибо! На рост 165 их подрезать не надо;unknown;unknown
24;платье пришлось переделывать. горловина кривая.низ не ровный,выпустила и добавила шитьё. запах держится до сих пор(стирала уже три раза) одно хорошо в жару не жарко в нём;negative;product_quality
25;Супер;positive;other
26;Ожидала розовый топ, как на картинке у продавца. В итоге пришёл бежевый. Очень неприятно, но придётся носить такой.  А по качеству ткани могу сказать, что хорошая. ;unknown;unknown
27;Платье приятное на ощупь. Нитки не торчат. Покупала для мамы к новому году, но оно немного не успело. Доставка быстрая. Спасибо ;positive;product_quality
28;Качество носков отличное, но доставка ... очень долго шли! ;mixed;delivery
29;Размеры не соответствуют, хотя мы проверяли по таблице размеров прилагаемых в магазине;negative;fit
30;товар так и не пришел. раза три продлевали срок доставки. очень обидно. я ждала эту рубашку, продавец общительный, но толку от этого нет(((очень обидно.;unknown;unknown
31;К качеству товара претензии нет. швы ровные,нитки не торчат. единственное резинка не зафиксирована. материал синтетика.ставлю 3 потому ,что отвратительно сидят на фигуре. сзади все морщится. на улицу в них не выйду ,остаётся носить дома((( жаль;mixed;fit
32;Если вы ищите платье для дома/халат/платье, в котором можно смело выбрасывать мусор и ходить в ближайший магнит или пятёрочку,   то вы на правильном пути) ткань ГАМНО);positive;product_quality
33;Дошёл быстро, но не оправдал ожиданий) ;unknown;unknown
34;Продавец указывает, что размер один! Но увы! Судя по отзывам я боялась, что придёт мальковом размера. Я ростом 170, размер s/m, она мне маленькая в подмышках! ;negative;fit
35;все понравилось;positive;other
36;очень маленькая.больше на ребёнка лет 11 подойдет;unknown;unknown
37;Пижама очень понравилась. Даже захотелось в другом цвете заказать. Доставка долгая была( ;mixed;delivery
38;Куртка понравилась, хорошее качество. Только на фото больше похоже на пальто, а получается удлиненная куртка. Доставка через СДЕК, пришлось к ним идти.;mixed;product_quality
39;шло очень долго.я уже потеряла заказ.. но юбка хорошая.;mixed;delivery
40;there were dirty spots on the pants, which still left after washing it up.;negative;product_quality
41;Замечательный костюм. На 96-70-96 сел хорошо - свитер свободненько, штаны в самый раз (верх но 46 размер, низ 44-42). Шнурок на брюках держит так себе - вставлю резинку, думаю с временем брюки вытянутся. По ощущениям в составе есть шерсть, ну и разумеется, акрил. Костюм теплый, выглядит прилично. Понравился очень. Шел до Екб неделю, доставка до двери. Магазин супер, беру здесь не первую вещь - все качественно и быстро. Спасибо. Рекомендую. 5+++++;positive;product_quality
42;одна из моих самых неудачных покупок. на мой 44 XL оказался мал, талия высоко и слишком сдавливает в груди. Еле втиснулась в платье, и с трудом из него вылезла. но это ладно. Качество не очень - торчат нитки, много затяжек, брошь вообще сломалась сразу же.;unknown;unknown
43;низ не окантован. по всем швам торчат нитки.;negative;product_quality
44;сильно большая;negative;fit
45;S  оказался полноценным L. при том что продавец хороший ,магазин зарекомендовавший себя, как так вышло . кроме огромного размера, была дырка на шортах и очень очень криво пришито кружево на груди . в общем пришлось исправлять и ушивать . отдать не маленькие  деньги и получить не годный  товар-очень плохо.;unknown;unknown
46;Не стоит своих денег абсолютно ,швы неровные,ткань тонюсенькая.Я ожидала лучшего качества.цвет не соответствует картинке,в реальности грязно серый какой то.;negative;product_quality
47;хорошое качество. xxl примерно на размер 42-44. соответствует описанию.;positive;product_quality
48;взяла две футболки, серую и белую. Серая соответствует описанию, претензий нет, но вот белая... хлопка я там не нашла. Сильно расстроилась, т.к. даже на ощупь футболки разные. Белая - мяконькая такая сопелька синтетическая. Думаю, к телу, конечно, приятная первые пять минут, но потом или вспотеешь, если теплый день, или замерзнешь. После носки дополню отзыв.;mixed;product_quality
49;Юбка сшита качественно, но на объем бедер 108 юбка немного морщинит;mixed;fit
50;"Носочки в принципе не плохие, приятные на ощупь, только в отзывах видела, как на 38 р натягивали..., видимо разные цвета все разного размера, потому что мои носки на мой 35 р можно сказать впритык. Ещё носки с симметричным рисунком, но одна пара розового цвета пришла с носками на одну ногу;)) ну да ладно)) доставка достаточно быстрая, меньше месяца;)";unknown;unknown
